Graph,K,Seed,Cut,Epsilon,Imbalance,Time,MaxRSS,Threads,Failed
"bn-human-Jung2015_M87123142",91,3,6053205,0.03,0.02999,1.903,2161532,96,0
"bn-human-Jung2015_M87123142",1000,4,19119036,0.03,0.029516,5.661,3049648,96,0
"bn-human-Jung2015_M87123142",128,4,7295603,0.03,0.029937,1.609,1930300,96,0
"bn-human-Jung2015_M87123142",37,4,3458649,0.03,0.029982,1.926,1528284,96,0
"bn-human-Jung2015_M87123142",64,4,4878775,0.03,0.029937,1.604,1904276,96,0
"bn-human-Jung2015_M87123142",8,4,808397,0.03,0.029995,0.297,458500,96,0
"bn-human-Jung2015_M87123142",91,4,6201585,0.03,0.02999,2.298,2280924,96,0
"bn-human-Jung2015_M87123142",1000,5,19082763,0.03,0.029516,5.711,3070440,96,0
"bn-human-Jung2015_M87123142",128,5,7274461,0.03,0.029937,1.631,1907836,96,0
"bn-human-Jung2015_M87123142",37,5,3522871,0.03,0.029982,2.043,1704348,96,0
"bn-human-Jung2015_M87123142",64,5,4922756,0.03,0.029937,1.714,1871928,96,0
"bn-human-Jung2015_M87123142",8,5,789298,0.03,0.029995,0.271,467856,96,0
"bn-human-Jung2015_M87123142",91,5,6053974,0.03,0.02999,2.149,2274748,96,0
"bn-human-Jung2015_M87126525",1000,1,63928280,0.03,0.029713,13.169,6587048,96,0
"bn-human-Jung2015_M87126525",128,1,25245690,0.03,0.029902,4.661,4829592,96,0
"bn-human-Jung2015_M87126525",37,1,12484322,0.03,0.029988,5.481,4367516,96,0
"bn-human-Jung2015_M87126525",64,1,16965626,0.03,0.029969,5.671,5117356,96,0
"bn-human-Jung2015_M87126525",8,1,3786593,0.03,0.029994,2.598,1946952,96,0
"bn-human-Jung2015_M87126525",91,1,20839947,0.03,0.02993,5.53,5516616,96,0
"bn-human-Jung2015_M87126525",1000,2,63738575,0.03,0.029713,14.804,6698968,96,0
"bn-human-Jung2015_M87126525",128,2,24717896,0.03,0.029902,4.652,4884820,96,0
"bn-human-Jung2015_M87126525",37,2,11886271,0.03,0.029988,5.775,4430596,96,0
"bn-human-Jung2015_M87126525",64,2,16139596,0.03,0.029969,5.453,4803472,96,0
"bn-human-Jung2015_M87126525",8,2,3811845,0.03,0.029994,2.615,1905876,96,0
"bn-human-Jung2015_M87126525",91,2,21091185,0.03,0.02993,5.782,5699440,96,0
"bn-human-Jung2015_M87126525",1000,3,63812887,0.03,0.029713,13.148,6628352,96,0
"bn-human-Jung2015_M87126525",128,3,25165228,0.03,0.029902,4.757,5020972,96,0
"bn-human-Jung2015_M87126525",37,3,12464290,0.03,0.029988,5.386,4630836,96,0
"bn-human-Jung2015_M87126525",64,3,17642432,0.03,0.029969,5.448,4787628,96,0
"bn-human-Jung2015_M87126525",8,3,3715145,0.03,0.029994,2.325,1901088,96,0
"bn-human-Jung2015_M87126525",91,3,20653380,0.03,0.02993,6.537,5639408,96,0
"bn-human-Jung2015_M87126525",1000,4,63948533,0.03,0.029713,13.131,6582776,96,0
"bn-human-Jung2015_M87126525",128,4,24870588,0.03,0.029902,5.036,4980328,96,0
"bn-human-Jung2015_M87126525",37,4,12501341,0.03,0.029988,5.865,4404504,96,0
"bn-human-Jung2015_M87126525",64,4,16843406,0.03,0.029969,5.203,5188020,96,0
